ID_powiatu,year,p3350-stopień-wykorzystania-miejsc-noclegowych
023015823000,2019,30.2
023015823000,2020,21.5
023015827000,2010,23.4
023015827000,2011,20.2
023015827000,2012,20.8
023015827000,2013,20.4
023015827000,2014,12.1
023015827000,2015,10.8
023015827000,2016,15.2
023015827000,2017,13.8
023015827000,2018,14.0
023015827000,2019,18.5
023015827000,2020,14.7
023015830000,2010,26.6
023015830000,2011,25.0
023015830000,2012,23.9
023015830000,2013,21.9
023015830000,2014,24.8
023015830000,2015,28.5
023015830000,2016,26.4
023015830000,2017,25.1
023015830000,2018,22.0
023015830000,2019,20.3
023015830000,2020,15.7
023015862000,2010,27.5
023015862000,2011,32.6
023015862000,2012,30.9
023015862000,2013,27.2
023015862000,2014,27.3
023015862000,2015,28.1
023015862000,2016,30.6
023015862000,2017,23.0
023015862000,2018,22.3
023015862000,2019,24.5
023015862000,2020,21.3
023015904000,2010,26.8
023015904000,2011,22.5
023015904000,2012,20.6
023015904000,2013,17.4
023015904000,2014,18.0
023015904000,2015,25.7
023015904000,2016,21.5
023015904000,2017,27.8
023015904000,2018,25.6
023015904000,2019,23.3
023015904000,2020,23.2
023015905000,2010,34.2
023015905000,2011,26.9
023015905000,2012,18.6
023015905000,2013,14.5
023015905000,2014,27.6
023015905000,2015,24.2
023015905000,2016,22.1
023015905000,2017,24.6
023015905000,2018,32.1
023015905000,2019,27.5
023015905000,2020,16.3
023015911000,2010,25.9
023015911000,2011,24.2
023015911000,2012,17.7
023015911000,2013,18.0
023015911000,2014,19.4
023015911000,2015,18.2
023015911000,2016,17.1
023015911000,2017,20.0
023015911000,2018,19.8
023015911000,2019,20.4
023015911000,2020,12.3
023015913000,2010,23.0
023015913000,2011,20.9
023015913000,2012,19.5
023015913000,2013,20.3
023015913000,2014,22.9
023015913000,2015,28.6
023015913000,2016,29.5
023015913000,2017,30.6
023015913000,2018,25.8
023015913000,2019,29.5
023015913000,2020,22.6
023015914000,2010,30.7
023015914000,2011,31.6
023015914000,2012,26.4
023015914000,2013,21.1
023015914000,2014,20.6
023015914000,2015,22.2
023015914000,2016,27.1
023015914000,2017,28.5
023015914000,2018,31.3
023015914000,2019,28.9
023015914000,2020,23.7
023015915000,2010,21.6
023015915000,2011,16.6
023015915000,2012,15.6
023015915000,2013,17.9
023015915000,2014,17.5
023015915000,2015,19.7
023015915000,2016,23.3
023015915000,2017,24.7
023015915000,2018,25.6
023015915000,2019,24.2
023015915000,2020,18.1
023015922000,2010,22.5
023015922000,2011,15.6
023015922000,2012,15.9
023015922000,2013,16.1
023015922000,2014,19.0
023015922000,2015,19.6
023015922000,2016,24.4
023015922000,2017,27.4
023015922000,2018,20.1
023015922000,2019,17.6
023015922000,2020,14.5
023015929000,2010,26.2
023015929000,2011,24.5
023015929000,2012,22.1
023015929000,2013,18.6
023015929000,2014,21.7
023015929000,2015,17.9
023015929000,2016,20.3
023015929000,2017,21.6
023015929000,2018,24.2
023015929000,2019,23.0
023015929000,2020,25.6
023015963000,2010,27.5
023015963000,2011,30.8
023015963000,2012,27.0
023015963000,2013,25.5
023015963000,2014,25.0
023015963000,2015,30.5
023015963000,2016,33.6
023015963000,2017,28.6
023015963000,2018,23.9
023015963000,2019,26.2
023015963000,2020,18.6
023016001000,2010,15.9
023016001000,2011,16.5
023016001000,2012,17.7
023016001000,2013,17.6
023016001000,2014,19.0
023016001000,2015,19.6
023016001000,2016,20.5
023016001000,2017,21.6
023016001000,2018,26.9
023016001000,2019,28.1
023016001000,2020,24.2
023016002000,2010,24.6
023016002000,2011,20.4
023016002000,2012,15.8
023016002000,2013,13.4
023016002000,2014,15.3
023016002000,2015,21.5
023016002000,2016,20.0
023016002000,2017,28.1
023016002000,2018,26.3
023016002000,2019,26.9
023016002000,2020,21.9
023016019000,2010,20.3
023016019000,2011,20.8
023016019000,2012,19.7
023016019000,2013,21.0
023016019000,2014,22.6
023016019000,2015,25.2
023016019000,2016,21.4
023016019000,2017,26.4
023016019000,2018,26.3
023016019000,2019,25.4
023016019000,2020,19.7
023016028000,2010,37.8
023016028000,2011,36.4
023016028000,2012,28.3
023016028000,2013,27.0
023016028000,2014,27.5
023016028000,2015,37.2
023016028000,2016,33.7
023016028000,2017,37.9
023016028000,2018,40.5
023016028000,2019,40.2
023016028000,2020,22.5
023016031000,2010,19.7
023016031000,2011,14.2
023016031000,2012,16.1
023016031000,2013,15.9
023016031000,2014,17.1
023016031000,2015,20.4
023016031000,2016,20.9
023016031000,2017,19.3
023016031000,2018,18.8
023016031000,2019,23.8
023016031000,2020,21.9
023016116000,2010,19.6
023016116000,2011,27.3
023016116000,2012,19.1
023016116000,2013,13.8
023016116000,2014,14.9
023016116000,2015,15.0
023016116000,2016,19.7
023016116000,2017,22.2
023016116000,2018,22.5
023016116000,2019,22.0
023016116000,2020,16.2
023016121000,2010,24.2
023016121000,2011,23.2
023016121000,2012,23.4
023016121000,2013,21.6
023016121000,2014,24.9
023016121000,2015,24.5
023016121000,2016,25.5
023016121000,2017,26.6
023016121000,2018,28.0
023016121000,2019,26.6
023016121000,2020,15.8
023016124000,2010,23.6
023016124000,2011,23.7
023016124000,2012,21.4
023016124000,2013,20.7
023016124000,2014,18.7
023016124000,2015,19.6
023016124000,2016,20.6
023016124000,2017,22.1
023016124000,2018,25.1
023016124000,2019,23.9
023016124000,2020,18.1
023016125000,2010,21.8
