ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-ogółem
023015717000,2012,3690
023015717000,2013,4710
023015717000,2014,3627
023015717000,2015,3342
023015717000,2016,4225
023015717000,2017,3508
023015717000,2018,3147
023015717000,2019,3454
023015717000,2020,1704
023015718000,2005,810
023015718000,2006,576
023015718000,2007,610
023015718000,2008,1009
023015718000,2009,655
023015718000,2010,472
023015718000,2011,671
023015718000,2012,709
023015718000,2013,663
023015718000,2014,596
023015718000,2015,623
023015718000,2016,670
023015718000,2017,809
023015718000,2018,588
023015718000,2019,834
023015718000,2020,367
023015720000,2005,601
023015720000,2006,638
023015720000,2007,311
023015720000,2008,905
023015720000,2009,944
023015720000,2010,730
023015720000,2011,779
023015720000,2012,746
023015720000,2013,748
023015720000,2014,796
023015720000,2015,840
023015720000,2016,2051
023015720000,2017,1940
023015720000,2018,1777
023015720000,2019,2022
023015720000,2020,816
023015761000,2005,5762
023015761000,2006,5260
023015761000,2007,5811
023015761000,2008,5450
023015761000,2009,5425
023015761000,2010,4697
023015761000,2011,4727
023015761000,2012,4672
023015761000,2013,4347
023015761000,2014,4421
023015761000,2015,4349
023015761000,2016,4412
023015761000,2017,3870
