ID_powiatu,year,p2596-parki-spacerowo-wypoczynkowe-obiekty
051011814000,2016,23
051011814000,2017,23
051011814000,2018,23
051011814000,2019,23
051011814000,2020,23
051011817000,2004,2
051011817000,2005,3
051011817000,2006,3
051011817000,2007,3
051011817000,2008,3
051011817000,2009,4
051011817000,2010,4
051011817000,2011,4
051011817000,2012,4
051011817000,2013,4
051011817000,2014,4
051011817000,2015,4
051011817000,2016,4
051011817000,2017,4
051011817000,2018,4
051011817000,2019,4
051011817000,2020,4
051011818000,2004,4
051011818000,2005,3
051011818000,2006,3
051011818000,2007,3
051011818000,2008,3
051011818000,2009,3
051011818000,2010,3
051011818000,2011,3
051011818000,2012,3
051011818000,2013,3
051011818000,2014,3
051011818000,2015,3
051011818000,2016,3
051011818000,2017,3
051011818000,2018,3
051011818000,2019,3
051011818000,2020,3
051011819000,2004,4
051011819000,2005,4
051011819000,2006,4
051011819000,2007,4
051011819000,2008,4
051011819000,2009,4
051011819000,2010,4
051011819000,2011,4
051011819000,2012,4
051011819000,2013,4
051011819000,2014,4
051011819000,2015,4
051011819000,2016,4
051011819000,2017,4
051011819000,2018,4
051011819000,2019,4
051011819000,2020,4
051011902000,2004,10
051011902000,2005,12
051011902000,2006,12
051011902000,2007,12
051011902000,2008,12
051011902000,2009,12
051011902000,2010,12
051011902000,2011,12
051011902000,2012,12
051011902000,2013,12
051011902000,2014,12
051011902000,2015,12
051011902000,2016,12
051011902000,2017,12
051011902000,2018,12
051011902000,2019,13
051011902000,2020,13
051011904000,2004,5
