ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-pozostałe-kraje
023015712000,2019,485
023015712000,2020,240
023015717000,2005,257
023015717000,2006,261
023015717000,2007,413
023015717000,2008,248
023015717000,2009,195
023015717000,2010,203
023015717000,2011,247
023015717000,2012,227
023015717000,2013,246
023015717000,2014,254
023015717000,2015,318
023015717000,2016,392
023015717000,2017,326
023015717000,2018,485
023015717000,2019,274
023015717000,2020,75
023015718000,2005,12
023015718000,2006,10
023015718000,2007,9
023015718000,2008,48
023015718000,2009,40
023015718000,2010,42
023015718000,2011,62
023015718000,2012,81
023015718000,2013,28
023015718000,2014,21
023015718000,2015,53
023015718000,2016,113
023015718000,2017,89
023015718000,2018,18
023015718000,2019,49
023015718000,2020,1
023015720000,2005,6
023015720000,2006,14
023015720000,2007,4
023015720000,2008,43
023015720000,2009,43
023015720000,2010,22
023015720000,2011,59
023015720000,2012,112
023015720000,2013,57
023015720000,2014,102
023015720000,2015,40
023015720000,2016,24
023015720000,2017,42
023015720000,2018,103
023015720000,2019,64
023015720000,2020,40
023015761000,2005,485
023015761000,2006,340
023015761000,2007,362
023015761000,2008,438
023015761000,2009,661
023015761000,2010,504
023015761000,2011,423
023015761000,2012,348
023015761000,2013,406
023015761000,2014,409
023015761000,2015,561
023015761000,2016,488
023015761000,2017,438
023015761000,2018,535
023015761000,2019,392
023015761000,2020,148
023015803000,2005,32
023015803000,2006,131
023015803000,2007,94
023015803000,2008,152
023015803000,2009,92
023015803000,2010,208
023015803000,2011,149
023015803000,2012,209
023015803000,2013,137
023015803000,2014,152
023015803000,2015,151
023015803000,2016,162
023015803000,2017,112
023015803000,2018,124
023015803000,2019,299
023015803000,2020,37
023015809000,2005,11
023015809000,2006,23
023015809000,2007,62
023015809000,2008,213
023015809000,2009,248
023015809000,2010,120
023015809000,2011,22
023015809000,2012,140
023015809000,2013,104
023015809000,2014,160
023015809000,2015,127
023015809000,2016,160
023015809000,2017,87
023015809000,2018,47
023015809000,2019,75
023015809000,2020,51
023015810000,2005,145
023015810000,2006,203
023015810000,2007,203
023015810000,2008,359
023015810000,2009,145
023015810000,2010,349
023015810000,2011,322
023015810000,2012,205
023015810000,2013,236
023015810000,2014,269
023015810000,2015,281
023015810000,2016,534
023015810000,2017,226
023015810000,2018,139
023015810000,2019,297
023015810000,2020,18
023015823000,2005,22
023015823000,2006,18
023015823000,2007,5
023015823000,2008,5
023015823000,2009,0
023015823000,2010,0
023015823000,2011,0
023015823000,2012,8
023015823000,2013,2
023015823000,2014,0
023015823000,2015,4
023015823000,2016,4
023015823000,2017,24
023015823000,2018,7
023015823000,2019,19
023015823000,2020,5
023015827000,2005,20
023015827000,2006,15
023015827000,2007,3
023015827000,2008,0
023015827000,2009,8
023015827000,2010,41
